original_order,key_name,sample,source,display_name,display_section,disp_sect_summary,format,format_cd,help,info_link,
1,EIN,204703107,bmf,EIN,IRS Business Master File,,str,,Tax ID for organizations (get formal def),,
2,NAME,AFRICA READS INC,bmf,Org Name,IRS Business Master File,,title,,Organization Name on IRS Form 990x,,
3,ICO,% TINA CAVALIER,bmf,ICO,IRS Business Master File,,str,,In Care Of,,
4,STREET,15 ELLWOOD AVE,bmf,STREET,IRS Business Master File,,str,,Postal Address,,
5,CITY,CORTLAND,bmf,CITY,IRS Business Master File,,title,,Postal Address,,
6,STATE,NY,bmf,STATE,IRS Business Master File,,,,Postal Address,,
7,ZIP,13045-1807,bmf,ZIP,IRS Business Master File,,str,,Postal Address,,
8,GROUP,0,bmf,Parent Org Code,IRS Business Master File,,str,,This is an internal number assigned to central/parent organizations holding group determination letters.,,
9,SUBSECTION,3,bmf,SUBSECTION,IRS Business Master File,,str,,Subsection Codes are the codes shown under section 501(c) of the Internal Revenue Code of 1986 which define the category under which an organization may be exempt. A table of subsection and classification codes can be found on page 6. From one to three subsection codes may be selected per request. If classification code is also selected only one subsection code may be selected.,,
10,AFFILIATION,3,bmf,Affiliation Code,IRS Business Master File,,str,,Affiliation Code defines the organizational grouping. (eg. Independent or an affiliate),,
11,CLASSIFICATION,1000,bmf,CLASSIFICATION Code,IRS Business Master File,,str,,This code identifies the type of organization or the purpose for which it was established. One to four different codes may be present in this field.,,SubSect and Classification
12,RULING,200805,bmf,Ruling Date,IRS Business Master File,,str,,This is the month and year(YYYYMM)of a ruling or determination letter recognizing the organization's exempt status.,,
13,DEDUCTIBILITY,1,bmf,DEDUCTIBILITY Code,IRS Business Master File,,str,,Code for whether donations are tax-deductible,,
14,FOUNDATION,15,bmf,Foundation Type,IRS Business Master File,,str,,Foundation Code.  (lookup),,
15,ACTIVITY,0,bmf,ACTIVITY Code,IRS Business Master File,,str,,,,
16,ORGANIZATION,1,bmf,Organization Type,IRS Business Master File,,str,,IRS Gneral Organization Type,,
17,STATUS,1,bmf,,IRS Business Master File,,str,,,,
18,TAX_PERIOD,202403,bmf,TAX_PERIOD,IRS Business Master File,,dt,,Accounting Period for Org,,
19,ASSET_CD,0,bmf,Asset Category,IRS Business Master File,,str,,"Asset Codes relate to the amount of assets shown on the most recent Form 990 series return filed by the organization. Requesters may select organizations with a code equal to, equal to or greater than, or equal to or less than the asset code desired.",,
20,INCOME_CD,0,bmf,Income Category,IRS Business Master File,,,,Income Codes relate to the amount of income shown on the most recent Form 990 series return. The parameters for selecting income codes are the same as for asset codes.,,
21,FILING_REQ_CD,2,bmf,Return Types Required,IRS Business Master File,,,,This indicates the primary return(s) the organization is required to file.,,
22,PF_FILING_REQ_CD,0,bmf,Return Types Required,IRS Business Master File,,,,FR(Postion 3) Form Numbers,,
23,ACCT_PD,3,bmf,Accounting Period,IRS Business Master File,,str,,"This designates the accounting period ending date (Jan - Dec) of the organization. Under Standard Extract selection criteria, only one specific two digit (01-12) accounting period may be selected for extraction.",,
24,ASSET_AMT,0,bmf,Asset Amount,IRS Business Master File,,currency,,Asset Amount is an amount from the most recent Form 990 series return filed by the organization. This field is dollars only.,,
